N ,quick sort, merge sort, radix sort , quick radix sort
100,  0.270181 , 0.306533,  0.559333, 0.322448
200,  0.553068, 0.648114, 1.09502,  0.630379
300, 0.856963,1.01793,  1.63984,0.974075
400,1.18536,1.37778,2.17412, 1.30371
500, 1.65388 ,1.66871, 2.72396 , 1.62634
600,1.8927,2.2553 ,3.21702 ,1.92336
700,  2.20462, 2.53113, 3.78128,2.23484

800,  2.50607 , 2.9097, 4.30041, 2.55318
 900, 2.88953, 3.178,4.82488 , 2.87546 
1000, 3.23702,  3.48992,5.32805, 3.18064
1100, 3.59999 , 4.22742 , 5.92529,  3.53843
 1200,  3.92006, 4.67683 ,  6.45072 , 3.84091 
 1300 ,4.31937, 5.07221,6.97966, 4.1619
1400, 4.74786 ,5.47226, 7.97448, 4.473 
1500,5.05454,5.79157,8.05698 , 4.8048
1600 ,5.40244, 6.02367 ,8.54325, 5.11242 

 1700,5.77508,6.4156,9.09195 ,5.42419
1800,6.14437 ,6.83375 , 9.62144,5.85791
1900, 6.53671 , 7.06137, 10.187 ,6.06601
2000 ,6.85429 ,7.40981 , 10.6775, 6.3234
 2100, 7.25761 , 8.36543,11.1844 , 6.638 
2200 , 7.63395, 8.88012,  11.7416 ,  7.01326
2300,8.06346, 9.39599, 12.2362 , 7.31428
 2400 ,8.45268, 9.78688, 12.8338 , 7.64433 
2500, 8.85615,  10.1747, 13.3521, 7.96365
2600,9.28298 ,10.5852,13.8315,8.37181
2700 ,  9.65275,10.9789 ,  14.3617,8.46067
2800, 10.0503, 11.3126, 14.9321, 8.99687
 2900, 10.2894, 11.5596 ,  15.4855, 9.33035
3000,10.8735, 12.2673 , 16.204,9.65017
